month,date,inquiry_index,unadjusted_inquiry_index
60,2005-01,169.78141,165.47662
61,2005-02,166.50598,148.07652
62,2005-03,166.56469,168.46637
63,2005-04,159.5783,152.90097
64,2005-05,150.9783,145.05241
65,2005-06,166.23805,166.45029
66,2005-07,149.56472,151.86048
67,2005-08,181.71545,189.42897
68,2005-09,181.65649,176.96787
69,2005-10,161.2084,171.30911
70,2005-11,159.06339,171.34539
71,2005-12,149.1142,154.38057
72,2006-01,148.84705,144.91877
73,2006-02,158.92471,140.87898
74,2006-03,167.01563,168.12081
75,2006-04,162.69271,156.64866
76,2006-05,167.00468,161.03973
77,2006-06,157.87041,157.73497
78,2006-07,154.81922,157.36268
79,2006-08,165.93893,172.66844
80,2006-09,169.6259,165.22461
81,2006-10,180.69845,191.55196
82,2006-11,182.9215,196.97398
83,2006-12,165.7791,173.19536
84,2007-01,192.99523,188.05819
85,2007-02,188.42759,166.24792
86,2007-03,181.55158,181.13748
87,2007-04,183.9967,178.10573
88,2007-05,189.54643,183.85231
89,2007-06,193.88853,192.75091
90,2007-07,193.03986,196.57687
91,2007-08,187.84226,194.91972
92,2007-09,176.75915,172.27706
93,2007-10,174.91292,184.17114
94,2007-11,169.65143,182.49107
95,2007-12,157.56154,167.42015
96,2008-01,171.44553,167.48315
97,2008-02,171.28833,150.31788
98,2008-03,168.76431,166.73476
99,2008-04,167.79751,163.09399
100,2008-05,161.2565,156.66202
101,2008-06,158.48589,156.67157
102,2008-07,163.99457,167.1395
103,2008-08,150.8223,156.92167
104,2008-09,156.82015,152.9277
105,2008-10,151.27923,157.6777
106,2008-11,146.70106,157.69488
107,2008-12,140.70218,152.05903
108,2009-01,124.45341,121.61744
109,2009-02,116.90117,102.58119
110,2009-03,111.63639,109.86846
111,2009-04,114.60748,111.47979
112,2009-05,113.64783,110.27511
113,2009-06,103.75511,101.62088
114,2009-07,97.76258000000001,99.54753000000001
115,2009-08,96.20481000000001,100.28828
116,2009-09,91.81622,89.70580000000001
117,2009-10,93.11999,96.13586000000001
118,2009-11,92.46601000000001,99.81863000000001
119,2009-12,114.24492,125.55223
120,2010-01,102.51492,100
