month,date,inquiry_index,unadjusted_inquiry_index
60,2005-01,116.75884,114.56336
61,2005-02,118.2196,117.87181
62,2005-03,121.75229,131.33531
63,2005-04,126.18976,127.72649
64,2005-05,124.8075,129.99249
65,2005-06,129.923,133.50855
66,2005-07,136.75725,146.38897
67,2005-08,130.4129,140.06802
68,2005-09,129.03805,126.85189
69,2005-10,128.11694,121.77216
70,2005-11,135.31641,121.42321
71,2005-12,137.61596,122.09903
72,2006-01,138.24302,135.26658
73,2006-02,135.95803,135.4521
74,2006-03,132.62091,142.98335
75,2006-04,132.72347,134.54216
76,2006-05,135.18087,141.1944
77,2006-06,138.0143,141.84372
78,2006-07,143.69746,154.172
79,2006-08,147.61676,158.59799
80,2006-09,151.55383,148.90675
81,2006-10,148.8243,141.40642
82,2006-11,149.92507,134.0121
83,2006-12,148.27675,131.33972
84,2007-01,149.79167,145.9075
85,2007-02,148.69784,147.99682
86,2007-03,151.26017,163.21392
87,2007-04,146.36939,148.85817
88,2007-05,147.4664,154.97151
89,2007-06,144.28279,148.147
90,2007-07,141.89043,152.63042
91,2007-08,142.91123,153.5006
92,2007-09,144.06807,141.49035
93,2007-10,147.78273,140.62459
94,2007-11,144.46368,128.5525
95,2007-12,142.41201,125.80503
96,2008-01,141.56221,136.817
97,2008-02,145.3522,144.30408
98,2008-03,141.43525,152.81594
99,2008-04,140.75102,143.62825
100,2008-05,136.59755,144.82088
101,2008-06,134.03782,137.59883
102,2008-07,126.21888,136.04399
103,2008-08,119.58106,128.34047
104,2008-09,114.96303,112.87159
105,2008-10,114.53282,109.18768
106,2008-11,111.31001,98.63068000000001
107,2008-12,110.53525,97.56615000000001
108,2009-01,109.9342,105.0709
109,2009-02,105.74289,104.85887
110,2009-03,104.63408,113.33539
111,2009-04,104.96146,107.35015
112,2009-05,105.00785,112.13393
113,2009-06,103.15603,106.06034
114,2009-07,108.13716,116.57317
115,2009-08,131.60414,141.07955
116,2009-09,98.14212000000001,96.28959
117,2009-10,101.03542,96.39118000000001
118,2009-11,100.63202,89.15146000000001
119,2009-12,102.98203,91.14360000000001
120,2010-01,105.74686,100
121,2010-02,105.66251,104.61151
122,2010-03,118.0077,128.01802
